ibge_id;dependencia_id;ciclo_id;ano;ideb;fluxo;aprendizado;nota_mt;nota_lp
11;0;EM;2017;4;0,8735;4,5271;272,03;268,33
11;2;EM;2017;3,8;0,8498;4,42;268,05;264,91
11;4;EM;2017;5,5;0,9496;5,7899;319;308,62
12;0;EM;2017;3,8;0,877;4,3461;263,28;264,45
12;2;EM;2017;3,6;0,8476;4,2562;260,01;261,51
12;4;EM;2017;5,4;0,9593;5,645;310,7;306,73
13;0;EM;2017;3,5;0,8745;4,0231;250,93;254,46
13;2;EM;2017;3,3;0,834;3,924;247,23;251,31
13;4;EM;2017;5,4;0,9632;5,6479;311,04;306,6
14;0;EM;2017;3,5;0,8457;4,1174;256,73;255,32
14;2;EM;2017;3,3;0,8369;3,9177;249,19;249,05
14;4;EM;2017;5,4;0,9618;5,5757;311,87;301
15;0;EM;2017;3,1;0,8035;3,828;246,29;245,78
15;2;EM;2017;2,8;0,7858;3,5826;237,25;237,87
15;4;EM;2017;5,5;0,9509;5,7466;316,98;307,62
16;0;EM;2017;3,2;0,8086;3,9835;249,11;253,52
16;2;EM;2017;3;0,7892;3,8068;242,86;247,58
16;4;EM;2017;5,4;0,9763;5,4898;302,41;304,14
17;0;EM;2017;3,8;0,8752;4,3333;265,77;261,26
17;2;EM;2017;3,7;0,8714;4,1928;260,39;256,92
17;4;EM;2017;5,8;0,9462;6,1371;334,83;316,96
21;0;EM;2017;3,5;0,8789;4,0278;251,68;254,07
21;2;EM;2017;3,4;0,8642;3,9106;247,26;250,39
21;4;EM;2017;5,2;0,9426;5,5335;308,46;301,38
22;0;EM;2017;3,6;0,8564;4,2467;263,14;257,94
22;2;EM;2017;3,3;0,8553;3,9085;250,52;247,19
22;4;EM;2017;5,9;0,9463;6,2187;336,63;320,72
23;0;EM;2017;4,1;0,9146;4,4309;267,37;266,28
23;2;EM;2017;3,8;0,912;4,2124;259,08;259,46
23;4;EM;2017;5,7;0,9619;5,8901;322,66;311,88
24;0;EM;2017;3,2;0,7935;4,0701;255,01;253,77
24;2;EM;2017;2,9;0,7587;3,7709;244,41;243,73
24;4;EM;2017;5,2;0,9461;5,51;306,04;302,08
25;0;EM;2017;3,5;0,8152;4,2387;261,27;259,16
25;2;EM;2017;3,1;0,7871;3,8788;247,51;248,03
25;4;EM;2017;5,2;0,9172;5,7213;317,95;305,02
26;0;EM;2017;4,1;0,9087;4,5335;271,39;269,36
26;2;EM;2017;4;0,9331;4,3192;263,22;262,71
26;4;EM;2017;5,6;0,9662;5,8245;320,56;309,47
27;0;EM;2017;3,5;0,8546;4,1534;257,93;256,6
27;2;EM;2017;3,3;0,8548;3,8884;247,96;248,25
27;4;EM;2017;5;0,9506;5,2471;299,06;291,07
28;0;EM;2017;3,7;0,8199;4,4688;269,93;266,41
28;2;EM;2017;3,1;0,7513;4,0836;255,92;253,82
28;4;EM;2017;5,5;0,9448;5,8191;319,14;310,44
29;0;EM;2017;3;0,7601;3,9552;251,31;249,57
29;2;EM;2017;2,7;0,7351;3,7324;243,15;242,34
29;4;EM;2017;5,6;0,9503;5,8602;320,89;311,54
31;0;EM;2017;3,9;0,8091;4,7725;281,48;275,86
31;2;EM;2017;3,6;0,7947;4,5233;271,59;268,49
31;4;EM;2017;6,3;0,9421;6,6895;357,5;332,59
32;0;EM;2017;4,4;0,8703;5,0329;291,64;283,72
32;2;EM;2017;4,1;0,8625;4,7739;280,84;276,55
32;4;EM;2017;6,1;0,9594;6,3199;345,31;319,34
33;0;EM;2017;3,9;0,8311;4,6902;277,09;274,48
33;2;EM;2017;3,3;0,7896;4,1688;256,91;258,58
33;4;EM;2017;5,6;0,9221;6,0597;329,83;316,48
35;0;EM;2017;4,2;0,9022;4,6421;274,12;274,05
35;2;EM;2017;3,8;0,8665;4,3663;263,13;265,94
35;4;EM;2017;5,9;0,9718;6,0669;330,93;315,93
41;0;EM;2017;4;0,8424;4,729;279,49;274,82
41;2;EM;2017;3,7;0,8217;4,4598;268,89;266,78
41;4;EM;2017;5,9;0,9715;6,0398;331,08;313,98
42;0;EM;2017;4,1;0,8577;4,794;283,69;275,22
42;2;EM;2017;3,6;0,8363;4,3531;266,28;262,1
42;4;EM;2017;6;0,9661;6,2368;340,69;318,12
43;0;EM;2017;3,7;0,7631;4,8502;283,41;279,24
43;2;EM;2017;3,4;0,7374;4,5816;272,82;271,23
43;4;EM;2017;5,9;0,9514;6,2492;338,21;321,28
50;0;EM;2017;3,8;0,8199;4,6673;276,4;273,6
50;2;EM;2017;3,6;0,8068;4,448;267,83;266,99
50;4;EM;2017;5,9;0,9583;6,1464;333,64;318,7
51;0;EM;2017;3,5;0,7919;4,3646;265,93;263,2
51;2;EM;2017;3,2;0,7686;4,1576;258,02;256,79
51;4;EM;2017;5,6;0,962;5,8429;322,4;308,97
52;0;EM;2017;4,3;0,8996;4,7424;278,91;276,26
52;2;EM;2017;4,3;0,938;4,5605;271,7;270,87
52;4;EM;2017;5,5;0,9606;5,7464;318,73;305,97
53;0;EM;2017;4,1;0,8335;4,8804;286,41;278,44
53;2;EM;2017;3,4;0,7895;4,312;263,71;261,77
53;4;EM;2017;6;0,9566;6,2459;340,96;318,48
